Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BR_2_13_1	BR_2_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40050763.0	0.0	36-150	55.0	29.906054445651176	145.7256598082788	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_2_13_2	BR_2_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40050763.0	0.0	36-150	56.0	28.474954648791623	146.39843930064453	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_2_19_1	BR_2_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34298070.0	0.0	36-150	54.0	29.399560540171336	147.16773972996148	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
BR_2_19_2	BR_2_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34298070.0	0.0	36-150	54.0	26.805784706929575	147.40954759261965	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_2_25_1	BR_2_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32986343.0	0.0	36-150	54.0	29.087179151825914	146.53820452300516	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_2_25_2	BR_2_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32986343.0	0.0	36-150	54.0	26.91881182649198	146.9884334556274	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_2_8_1	BR_2_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38299562.0	0.0	36-150	55.0	33.65160115990673	145.7377320920798	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_2_8_2	BR_2_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38299562.0	0.0	36-150	56.0	31.318053386483612	146.4563471509152	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_13_1	BR_3_13_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34774680.0	0.0	36-150	55.0	32.4845755048308	145.63422199715424	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_13_2	BR_3_13_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34774680.0	0.0	36-150	56.0	31.00761921964348	146.16865909334032	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_19_1	BR_3_19_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33884446.0	0.0	36-150	55.0	34.708820681909	145.5676100473946	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_19_2	BR_3_19_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33884446.0	0.0	36-150	55.0	32.70983648686946	146.20193701853648	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_25_1	BR_3_25_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31213860.0	0.0	36-150	55.0	36.21744836541182	145.48159564373006	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_25_2	BR_3_25_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31213860.0	0.0	36-150	55.0	35.010552361969665	146.142092166749	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_31_1	BR_3_31_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29389106.0	0.0	36-150	55.0	38.0619500475412	145.23664054292772	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_31_2	BR_3_31_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29389106.0	0.0	36-150	55.0	37.37542622331437	145.8035631978734	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_35_1	BR_3_35_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33361074.0	0.0	36-150	55.0	33.921848964683186	145.7254660326583	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_35_2	BR_3_35_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33361074.0	0.0	36-150	55.0	32.69016173605338	146.0956131388336	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_8_1	BR_3_8_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31575340.0	0.0	36-150	55.0	33.0388309051587	145.8862386596629	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
BR_3_8_2	BR_3_8_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31575340.0	0.0	36-150	55.0	31.194775795418355	146.50104470767377	pass	pass	pass	pass	warn	warn	pass	warn	fail	pass	pass
B_1_10_1	B_1_10_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32403581.0	0.0	36-150	55.0	33.53468703476003	147.00803969783462	pass	pass	fail	pass	fail	pass	pass	warn	fail	pass	pass
B_1_10_2	B_1_10_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32403581.0	0.0	36-150	55.0	28.284941611192504	147.79615472129453	pass	pass	pass	pass	warn	pass	pass	warn	fail	pass	pass
B_1_11_1	B_1_11_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42726701.0	0.0	36-150	55.0	31.735806911607554	147.37066716196975	pass	pass	fail	pass	warn	warn	pass	warn	fail	pass	pass
